iter	Passed	Remaining
0	47	47167
1	47	23775
2	48	15975
3	48	12074
4	48	9727
5	49	8151
6	49	7044
7	50	6203
8	50	5556
9	50	5035
10	51	4611
11	51	4257
12	52	3958
13	52	3700
14	52	3477
15	53	3280
16	53	3107
17	54	2953
18	54	2811
19	54	2689
20	55	2573
21	55	2475
22	56	2379
23	56	2296
24	56	2215
25	57	2143
26	57	2075
27	58	2013
28	58	1956
29	58	1901
30	59	1852
31	59	1805
32	60	1759
33	60	1718
34	60	1678
35	61	1650
36	62	1614
37	62	1580
38	62	1547
39	63	1517
40	63	1490
41	64	1462
42	64	1436
43	65	1416
44	65	1391
45	65	1367
46	66	1344
47	66	1323
48	67	1301
49	67	1282
50	67	1261
51	68	1243
52	68	1225
53	68	1208
54	69	1191
55	69	1174
56	70	1159
57	70	1143
58	70	1128
59	71	1114
60	71	1100
61	71	1087
62	72	1073
63	72	1062
64	73	1050
65	73	1039
66	73	1028
67	74	1017
68	74	1007
69	75	997
70	75	986
71	75	976
72	76	966
73	76	957
74	76	947
75	77	939
76	77	930
77	78	922
78	78	913
79	78	905
80	79	897
81	79	889
82	79	879
83	79	872
84	80	864
85	80	857
86	81	851
87	81	844
88	81	837
89	82	831
90	82	824
91	82	818
92	83	811
93	83	805
94	83	799
95	84	794
96	84	788
97	85	783
98	85	778
99	85	772
100	86	767
101	86	761
102	86	756
103	87	751
104	87	747
105	88	745
106	88	740
107	89	735
108	89	733
109	90	728
110	90	724
111	90	719
112	91	717
113	91	713
114	92	709
115	92	705
116	92	700
117	93	696
118	93	692
119	93	688
120	94	684
121	94	680
122	94	676
123	95	672
124	95	669
125	96	666
126	96	662
127	96	658
128	97	655
129	97	652
130	97	649
131	98	646
132	98	643
133	99	640
134	99	637
135	99	634
136	100	631
137	101	631
138	101	628
139	101	625
140	102	622
141	102	618
142	102	615
143	103	613
144	103	610
145	103	607
146	104	605
147	104	602
148	105	600
149	105	597
150	105	595
151	106	592
152	106	589
153	106	587
154	107	584
155	107	582
156	108	579
157	108	577
158	108	575
159	109	573
160	109	570
161	109	567
162	110	565
163	110	563
164	110	561
165	111	558
166	111	556
167	111	554
168	112	552
169	112	550
170	113	548
171	113	546
172	113	544
173	114	542
174	114	540
175	114	538
176	115	536
177	115	534
178	116	533
179	116	531
180	117	529
181	117	527
182	117	525
183	118	523
184	118	521
185	118	519
186	119	518
187	119	516
188	119	514
189	120	512
190	120	511
191	121	509
192	121	507
193	121	506
194	122	504
195	122	502
196	122	501
197	123	499
198	123	497
199	124	496
200	124	494
201	125	493
202	125	492
203	125	490
204	126	489
205	126	487
206	127	486
207	127	485
208	127	483
209	128	481
210	128	480
211	128	479
212	129	478
213	129	476
214	130	475
215	130	474
216	130	472
217	131	470
218	131	469
219	131	467
220	132	466
221	132	465
222	133	463
223	133	462
224	133	461
225	134	459
226	134	458
227	135	457
228	135	455
229	135	454
230	136	453
231	136	451
232	136	450
233	137	449
234	137	447
235	137	446
236	138	445
237	138	444
238	139	442
239	139	441
240	139	440
241	140	438
242	140	437
243	140	436
244	141	435
245	141	434
246	142	433
247	142	431
248	142	430
249	143	429
250	143	428
251	143	427
252	144	426
253	144	425
254	145	424
255	145	422
256	145	421
257	146	420
258	146	419
259	146	418
260	147	417
261	147	416
262	148	415
263	148	414
264	148	413
265	149	411
266	149	410
267	150	409
268	150	408
269	150	407
270	151	406
271	151	405
272	151	404
273	152	403
274	152	402
275	153	401
276	153	400
277	153	399
278	154	398
279	154	397
280	154	396
281	155	395
282	155	394
283	156	393
284	156	392
285	156	391
286	157	390
287	157	389
288	157	388
289	158	387
290	159	388
291	159	387
292	160	386
293	160	385
294	161	384
295	161	383
296	161	382
297	162	381
298	162	381
299	162	379
300	163	379
301	163	378
302	164	379
303	165	378
304	165	377
305	165	376
306	166	376
307	166	375
308	167	374
309	167	373
310	168	372
311	168	371
312	168	370
